,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x,y
0,2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,239,144.96575,-37.79726
1,2019,207,106153,106153,331-335 Lygon Street CARLTON 3053,Carlton,Wolfs Lair,80,144.96717,-37.79751
2,2019,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Green Man's Arms,120,144.96781,-37.79695
3,2019,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,The Beaufort,66,144.97043,-37.79652
4,2019,216,102714,102714,350-352 Drummond Street CARLTON 3053,Carlton,Eva on Drummond,70,144.96927,-37.79771
5,2019,218,106215,106215,298 Lygon Street CARLTON 3053,Carlton,Carlton Yacht Club Bar,46,144.96738,-37.79999
6,2019,228,101450,101450,223-227 Canning Street CARLTON 3053,Carlton,Dan O'Connell Hotel,100,144.97339,-37.79303
7,2019,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,200,144.9671,-37.80247
8,2019,252,106244,106244,160-162 Lygon Street CARLTON 3053,Carlton,Vodka Temple,200,144.96677,-37.80344
9,2019,255,101593,101593,91-95 Cardigan Street CARLTON 3053,Carlton,Hotel Lincoln,154,144.96451,-37.80449
10,2019,260,103276,103276,614-616 Elizabeth Street MELBOURNE 3000,Carlton,The Last Jar,250,144.95891,-37.80388
11,2019,266,106081,106081,27-31 Lygon Street CARLTON 3053,Carlton,The Curtin,350,144.9657,-37.8062
12,2019,268,108154,108153,49 Rathdowne Street CARLTON 3053,Carlton,Epocha Restaurant,124,144.96856,-37.80577
13,2019,1101,108973,108973,85-161 Spencer Street DOCKLANDS 3008,Docklands,Network Public Bar & Pizzeria,325,144.9522,-37.81843
14,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,E J Whitten Bar,70,144.94747,-37.81649
15,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,500,144.94747,-37.81649
16,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,The Medallion Club,5000,144.94747,-37.81649
17,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Legends Bar,250,144.94747,-37.81649
18,2019,1104,576024,576023,747-757 Bourke Street DOCKLANDS 3008,Docklands,The Nixon Hotel,300,144.94781,-37.81918
19,2019,1105,628712,628712,717-731 Collins Street DOCKLANDS 3008,Docklands,Bar Nicional,75,144.95008,-37.82071
20,2019,1105,640970,640970,14-24 Batmans Hill Drive DOCKLANDS 3008,Docklands,Hightail,900,144.94986,-37.82129
21,2019,1108,604125,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Docklands,Mama Rumaan,60,144.94363,-37.8165
22,2019,1108,604125,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Docklands,Alumbra,690,144.94363,-37.8165
23,2019,1109,560004,560004,24-42 Newquay Promenade DOCKLANDS 3008,Docklands,Solidaire Victoria,321,144.94217,-37.81436
24,2019,1109,601809,593728,425-427 Docklands Drive DOCKLANDS 3008,Docklands,Waterfront Venues Melbourne,1059,144.93921,-37.81504
25,2019,1110,593739,593739,99-127 Pearl River Road DOCKLANDS 3008,Docklands,Igloo Cafe & St Moritz Bar,100,144.93565,-37.81214
26,2019,1112,103982,103982,705-729 Flinders Street DOCKLANDS 3008,Docklands,The Flying Angel Club,200,144.95134,-37.82247
27,2019,131,108844,108844,1-5 Spencer Street DOCKLANDS 3008,Docklands,Crown Plaza,60,144.95501,-37.82267
28,2019,613,595153,109643,166 Albert Street EAST MELBOURNE 3002,East Melbourne,Cohen Cellars Wine Bar,40,144.98562,-37.81005
29,2019,658,110266,110266,120 Brunton Avenue EAST MELBOURNE 3002,East Melbourne,Spotless Services,2800,144.98316,-37.82
30,2019,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Bond Bar,500,144.96306,-37.81815
31,2019,14,103165,103165,1-5 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Dreams Gentlemen's Club,160,144.96461,-37.81806
32,2019,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Joint Bar,329,144.96433,-37.81742
33,2019,14,103946,103946,313-315 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Randy Dragon,100,144.96385,-37.81764
34,2019,14,103950,103950,335-339 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bartronica,200,144.96323,-37.81785
35,2019,14,104003,104003,2-8 Queen Street MELBOURNE 3000,Melbourne (CBD),Candela Nuevo,300,144.96271,-37.81859
36,2019,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),The Mill House Bar,400,144.9653,-37.81724
37,2019,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),Young & Jacksons,470,144.96702,-37.81736
38,2019,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Mon Bijou,180,144.96838,-37.81636
39,2019,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),The Adelphi Hotel,80,144.96838,-37.81636
40,2019,16,104020,104020,150-162 Flinders Street MELBOURNE 3000,Melbourne (CBD),Forum Theatre Bar,1500,144.96939,-37.81649
41,2019,16,108532,108532,27-37 Russell Street MELBOURNE 3000,Melbourne (CBD),Whiskey Den,40,144.96925,-37.81599
42,2019,24,103174,103174,55-57 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Fiftyfive,88,144.96413,-37.81697
43,2019,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Hell's Kitchen,55,144.9656,-37.8166
44,2019,35,102141,102141,280-292 Collins Street MELBOURNE 3000,Melbourne (CBD),The Charles Dickens Tavern,450,144.96435,-37.81553
45,2019,35,105919,105919,267 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bar Americano,10,144.9656,-37.81483
46,2019,35,105919,105919,267 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Polepole Bar,100,144.9656,-37.81483
47,2019,35,109271,109271,125-133 Swanston Street MELBOURNE 3000,Melbourne (CBD),Max Watt's,800,144.9658,-37.81472
48,2019,35,558610,558610,256 Collins Street MELBOURNE 3000,Melbourne (CBD),The Butterfly Club,190,144.96529,-37.81552
49,2019,36,102152,102152,162-168 Collins Street MELBOURNE 3000,Melbourne (CBD),The George on Collins,620,144.96785,-37.8145
50,2019,45,105960,105960,318-322 Little Collins Street MELBOURNE 3000,Melbourne (CBD),New Guernica,380,144.96401,-37.81489
51,2019,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,366,144.96765,-37.8132
52,2019,46,101133,101133,209-215 Bourke Street MELBOURNE 3000,Melbourne (CBD),Treasure Star,150,144.9673,-37.81328
53,2019,46,105963,105963,196-212 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Hana,50,144.96715,-37.8139
54,2019,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,150,144.96758,-37.81391
55,2019,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,414,144.9682,-37.81366
56,2019,46,108537,108537,131-141 Russell Street MELBOURNE 3000,Melbourne (CBD),QT Melbourne,885,144.96784,-37.81343
57,2019,46,109413,109413,146 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cabinet Bar,90,144.9662,-37.81418
58,2019,46,111394,111394,16-30 Russell Place MELBOURNE 3000,Melbourne (CBD),Bar Ampere,60,144.96744,-37.81355
59,2019,54,104653,104653,21-25 Hardware Lane MELBOURNE 3000,Melbourne (CBD),Campari House,326,144.96131,-37.81409
60,2019,54,109954,109954,15-19 Warburton Lane MELBOURNE 3000,Melbourne (CBD),Murmur,50,144.96185,-37.81381
61,2019,55,101193,101193,338-352 Bourke Street MELBOURNE 3000,Melbourne (CBD),Alto Event Space,400,144.96329,-37.8136
62,2019,55,101194,101194,314-336 Bourke Street MELBOURNE 3000,Melbourne (CBD),Mural Hall,900,144.96383,-37.81345
63,2019,55,109284,109284,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),Black Opal,200,144.96501,-37.8131
64,2019,55,109284,109284,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cocoon Bar,200,144.96501,-37.8131
65,2019,56,101206,101206,188 Bourke Street MELBOURNE 3000,Melbourne (CBD),Heros Rooftop Bar,302,144.96761,-37.8127
66,2019,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Stars KTV and Lounge,204,144.96769,-37.81268
67,2019,6,578327,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Zinc at Federation Square,1000,144.96982,-37.81779
68,2019,6,578321,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Beer De Luxe,1000,144.96982,-37.81779
69,2019,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transit Rooftop Bar,200,144.96982,-37.81779
70,2019,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transport Hotel,600,144.96982,-37.81779
71,2019,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),Charlie's Bar,143,144.96091,-37.81323
72,2019,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),The Mill,119,144.96091,-37.81323
73,2019,64,105700,105700,359-363 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Whitehart,200,144.96188,-37.81275
74,2019,64,105704,105704,377-381 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Trapt Bar & Escape Rooms,331,144.96145,-37.81288
75,2019,64,105870,105870,380-384 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Kirk's Public Bar,98,144.96133,-37.81354
76,2019,64,515538,515538,4-6 Goldie Place MELBOURNE 3000,Melbourne (CBD),Paris Cat Jazz Club,120,144.96083,-37.81352
77,2019,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Beneath Driver Lane,118,144.96313,-37.81293
78,2019,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Penny Blue,85,144.96313,-37.81293
79,2019,65,109292,109292,243-249 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Lounge,212,144.96474,-37.8123
80,2019,66,105691,105691,209-211 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Boilermaker House,180,144.96626,-37.81143
81,2019,66,105694,105694,233-237 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Emerald Peacock,300,144.96555,-37.81158
82,2019,66,105694,105694,233-237 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Mezcalito Agave Bar,100,144.96555,-37.81158
83,2019,66,105695,105695,239 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Ferdydurke,100,144.96538,-37.81159
84,2019,66,105878,105878,242-244 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Shanghai Club,209,144.96559,-37.8121
85,2019,66,108547,108547,199-203 Russell Street MELBOURNE 3000,Melbourne (CBD),Exford Hotel,300,144.96734,-37.81179
86,2019,66,109390,109390,264-266 Swanston Street MELBOURNE 3000,Melbourne (CBD),Goldilocks,60,144.96515,-37.81181
87,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Toff In Town,342,144.96527,-37.81199
88,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Rooftop Cinema & Bar,200,144.96527,-37.81199
89,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cookie,300,144.96527,-37.81199
90,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Mesa Verde,175,144.96527,-37.81199
91,2019,66,109436,109436,27-29 Tattersalls Lane MELBOURNE 3000,Melbourne (CBD),Section 8 Bar,100,144.96539,-37.81176
92,2019,66,109952,109952,7-9 Waratah Place MELBOURNE 3000,Melbourne (CBD),Manchuria,80,144.96699,-37.81162
93,2019,66,635138,635138,13 Heffernan Lane MELBOURNE 3000,Melbourne (CBD),Union Electric,100,144.96659,-37.8118
94,2019,74,104662,104662,106-112 Hardware Street MELBOURNE 3000,Melbourne (CBD),Mjolner Melbourne,200,144.96068,-37.81214
95,2019,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),La La Land,175,144.96034,-37.81187
96,2019,74,106018,106018,395-397 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Horse Bazaar,158,144.96025,-37.8119
97,2019,74,106019,106019,399-401 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Novotel/Ibis Melbourne Central,786,144.96014,-37.81205
98,2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Father's Office,370,144.96572,-37.81068
99,2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Idarts Hive,100,144.96572,-37.81068
100,2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Strike Bowling,370,144.96572,-37.81068
101,2019,84,103207,103207,315-321 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Meeting Place,250,144.96146,-37.81122
102,2019,84,106037,106037,324-328 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Alchemist's Refuge,60,144.95994,-37.81167
103,2019,85,102596,102596,22 Drewery Place MELBOURNE 3000,Melbourne (CBD),Sister Bella,80,144.96382,-37.81135
104,2019,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),Baroq House,303,144.96397,-37.8113
105,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Strike Melbourne Central,760,144.96277,-37.81051
106,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),B. Lucky & Sons,300,144.96277,-37.81051
107,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Hoyts,300,144.96277,-37.81051
108,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Party World,500,144.96277,-37.81051
109,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Melbourne Central Lion Hotel,550,144.96277,-37.81051
110,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Diesel Bar,375,144.96277,-37.81051
111,2019,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Mui Karaoke,243,144.96436,-37.81143
112,2019,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Bornga,40,144.96436,-37.81143
113,2019,85,109304,109304,301-303 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cheek,98,144.96419,-37.81108
114,2019,327,102352,102352,171-173 Curzon Street NORTH MELBOURNE 3051,North Melbourne,Albion Hotel,100,144.94855,-37.7989
115,2019,345,103393,103393,7 Errol Street NORTH MELBOURNE 3051,North Melbourne,Joe Taylor,60,144.94901,-37.8048
116,2019,345,103402,103402,33 Errol Street NORTH MELBOURNE 3051,North Melbourne,Townhall Hotel North Melbourne,80,144.9488,-37.80412
117,2019,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,50,144.94964,-37.80116
118,2019,355,105636,105636,46-50 Leveson Street NORTH MELBOURNE 3051,North Melbourne,The Leveson,400,144.95146,-37.8037
119,2019,358,107887,107887,351-359 Queensberry Street NORTH MELBOURNE 3051,North Melbourne,Bobbie Peels,240,144.95597,-37.80396
120,2019,358,109829,109829,312-316 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Victoria Hotel,130,144.9557,-37.80563
121,2019,361,109842,109842,240-248 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Central Club Hotel,150,144.95812,-37.80591
122,2019,362,109843,109843,232-238 Victoria Street MELBOURNE 3000,North Melbourne,The Last Chance Rock & Roll Bar,180,144.95859,-37.80593
123,2019,369,103507,103507,86-90 Errol Street NORTH MELBOURNE 3051,North Melbourne,The Courthouse Hotel,50,144.94996,-37.80288
124,2019,376,508976,110862,42 Courtney Street NORTH MELBOURNE 3051,North Melbourne,Metropolitan Hotel,100,144.95409,-37.80143
125,2019,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE 3051,North Melbourne,The Castle Hotel,317,144.95303,-37.8009
126,2019,270,579293,104468,230 Grattan Street PARKVILLE 3010,Parkville,University House Club,611,144.96124,-37.79675
127,2019,270,664626,104468,230 Grattan Street PARKVILLE 3010,Parkville,The Ida Bar,200,144.96124,-37.79675
128,2019,904,556742,556742,419-443 Royal Parade PARKVILLE 3052,Parkville,Vibe Hotel,69,144.95882,-37.7829
129,2019,419,108876,108876,573-579 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),McMahons Hotel,160,144.94699,-37.8074
130,2019,435,107481,107481,65-67 Peel Street WEST MELBOURNE 3003,West Melbourne (Residential),The Drunken Poet Pty Ltd,50,144.9555,-37.80667
131,2019,441,108856,108856,475-477 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Hotel Spencer Bar & Grill,150,144.94925,-37.80957
132,2019,2530,616125,616125,RSL 25-27 Rankins Road KENSINGTON VIC 3031,Kensington,Flemington & Kensington RSL Club,90,144.9322,-37.78932
133,2019,2530,616160,616160,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Kensington,The Quiet Man Irishman  Pub,400,144.93237,-37.78861
134,2019,2538,616156,616156,40-48 Stubbs Street KENSINGTON VIC 3031,Kensington,Bonehead Brewing,80,144.93519,-37.79045
