Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x coordinate,y coordinate
2019,2514,615836,615836,,10 McCracken Street KENSINGTON VIC 3031,Kensington,1900,,1,House/Townhouse,,,,,,144.92752,-37.79006
2019,370,592684,592684,,25A Arden Street NORTH MELBOURNE 3051,North Melbourne,,,3,House/Townhouse,,,,,,144.95102,-37.80131
2019,2527,615229,615229,,17-19 Mulgrave Street KENSINGTON VIC 3031,Kensington,1965,,1,House/Townhouse,,,,,,144.93105,-37.79053
2019,2520,616720,616720,,84 McCracken Street KENSINGTON VIC 3031,Kensington,1900,,1,House/Townhouse,,,,,,144.92749,-37.79364
2019,2504,618031,618031,,17 Bendall Street KENSINGTON VIC 3031,Kensington,1989,,2,House/Townhouse,,,,,,144.92432,-37.78929
2019,351,588813,588813,,243-247 Errol Street NORTH MELBOURNE 3051,North Melbourne,,,1,House/Townhouse,,,,,,144.95011,-37.79837
2019,861,591502,591502,,80W Toorak Road SOUTH YARRA VIC 3141,South Yarra,,,2,House/Townhouse,,,,,,144.98081,-37.83737
2019,2544,615427,615427,,16-20 Thompson Street KENSINGTON VIC 3031,Kensington,1910,,1,House/Townhouse,,,,,,144.93439,-37.79262
2019,2522,616903,616903,,81 McConnell Street KENSINGTON VIC 3031,Kensington,1900,,1,House/Townhouse,,,,,,144.92914,-37.79268
2019,2519,614835,614835,,53-55 McConnell Street KENSINGTON VIC 3031,Kensington,1915,,1,House/Townhouse,,,,,,144.92899,-37.79167
2019,2512,617836,617836,,2 Watsons Walk KENSINGTON VIC 3031,Kensington,1989,,2,House/Townhouse,,,,,,144.92500,-37.79090
2019,2510,618101,618101,,21 Youlden Street KENSINGTON VIC 3031,Kensington,1991,,2,House/Townhouse,,,,,,144.92583,-37.78931
2019,2503,618009,618009,,36 Little Bendall Street KENSINGTON VIC 3031,Kensington,1997,,2,House/Townhouse,,,,,,144.92346,-37.78937
2019,2535,615096,615096,,16-18 Barnett Street KENSINGTON VIC 3031,Kensington,1900,,1,House/Townhouse,,,,,,144.93232,-37.79064
2019,223,103086,103086,,109 Elgin Street CARLTON 3053,Carlton,1870,,2,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1,0,,144.97103,-37.79781
2019,207,101666,101666,,316 Cardigan Street CARLTON 3053,Carlton,,,2,House/Townhouse,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0,,,144.96628,-37.79742
