,Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x,y
0,2019,618,109993,109993,Pullman On The Park,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,1967.0,2018.0,20.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,37.0,True,144.9835,-37.81582
12,2019,36,105916,105916,Victoria Hotel,201-207 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1928.0,1969.0,10.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96753,-37.81434
14,2019,14,104006,104006,Rendezvous Hotel Melbourne,318-332 Flinders Street MELBOURNE 3000,Melbourne (CBD),1913.0,1997.0,10.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,4.0,True,144.96358,-37.81819
27,2019,36,105917,105917,The Victoria Hotel,209-221 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1934.0,2003.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96708,-37.81446
36,2019,25,110857,110857,The Collins,233-239 Collins Street MELBOURNE 3000,Melbourne (CBD),1959.0,2001.0,13.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,True,144.9661,-37.816
40,2019,14,103947,103947,The Sebel Melbourne,317-323 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1923.0,1995.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96375,-37.81774
47,2019,15,103943,103943,The Lane Building,267-275 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1899.0,1997.0,6.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96548,-37.81711
61,2019,131,108844,108844,Crowne Plaza,1-5 Spencer Street DOCKLANDS 3008,Docklands,1989.0,2004.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,15.0,True,144.95501,-37.82267
78,2019,32,102118,102118,Collins Street Tower,480-490 Collins Street MELBOURNE 3000,Melbourne (CBD),1966.0,2005.0,21.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.95797,-37.81764
88,2019,48,108983,108983,The Hotel  Windsor,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),1888.0,1984.0,5.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,True,144.97292,-37.81199
95,2019,753,110323,110380,Langham Hotel,Langham Hotel 1 Southgate Avenue SOUTHBANK VIC 3006,Southbank,1992.0,2001.0,20.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9663,-37.82071
98,2019,37,105915,105915,Stamford Plaza Hotel,121-127 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1990.0,2012.0,17.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96977,-37.81369
104,2019,53,108074,108074,Adina,185-199 Queen Street MELBOURNE 3000,Melbourne (CBD),1980.0,2007.0,22.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95997,-37.81429
105,2019,58,105828,105828,Ovolo,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1991.0,1996.0,6.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97199,-37.81074
