,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x,y
0,2019,203,103123,103123,258 Elgin Street CARLTON 3053,Carlton,Cafe Sua Da,4511,Cafes and Restaurants,Seats - Indoor,45,144.96553,-37.79671
1,2019,203,103123,103123,258 Elgin Street CARLTON 3053,Carlton,Cafe Sua Da,4511,Cafes and Restaurants,Seats - Outdoor,6,144.96553,-37.79671
2,2019,203,109358,109358,832-834 Swanston Street CARLTON 3053,Carlton,Brother Bull,4511,Cafes and Restaurants,Seats - Indoor,42,144.9649,-37.79668
3,2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,144.96575,-37.79726
4,2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,144.96575,-37.79726
5,2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,The Longing Flavour,4511,Cafes and Restaurants,Seats - Indoor,50,144.96517,-37.79783
6,2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,Masters Of Burgerology,4511,Cafes and Restaurants,Seats - Indoor,50,144.96517,-37.79783
7,2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,Masters Of Burgerology,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96517,-37.79783
8,2019,205,512713,512713,249-263 Faraday Street CARLTON 3053,Carlton,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Indoor,17,144.96526,-37.79872
9,2019,205,512713,512713,249-263 Faraday Street CARLTON 3053,Carlton,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Outdoor,24,144.96526,-37.79872
10,2019,205,573289,573289,714-736 Swanston Street CARLTON 3053,Carlton,Toothpicks Cafe,4511,Cafes and Restaurants,Seats - Indoor,60,144.96489,-37.79947
11,2019,205,573289,573289,714-736 Swanston Street CARLTON 3053,Carlton,Toothpicks Cafe,4511,Cafes and Restaurants,Seats - Outdoor,36,144.96489,-37.79947
12,2019,205,573290,573290,740-750 Swanston Street CARLTON 3053,Carlton,Claypot Kingdom,4511,Cafes and Restaurants,Seats - Indoor,40,144.96476,-37.799
13,2019,205,573290,573290,740-750 Swanston Street CARLTON 3053,Carlton,E Dumpling,4511,Cafes and Restaurants,Seats - Indoor,32,144.96476,-37.799
14,2019,205,573290,573290,740-750 Swanston Street CARLTON 3053,Carlton,E Dumpling,4511,Cafes and Restaurants,Seats - Outdoor,8,144.96476,-37.799
15,2019,206,103691,103691,221-229 Faraday Street CARLTON 3053,Carlton,Thresherman's Bakehouse,4511,Cafes and Restaurants,Seats - Indoor,70,144.96673,-37.79886
16,2019,206,103691,103691,221-229 Faraday Street CARLTON 3053,Carlton,Thresherman's Bakehouse,4511,Cafes and Restaurants,Seats - Outdoor,50,144.96673,-37.79886
17,2019,206,103694,103694,235-237 Faraday Street CARLTON 3053,Carlton,New York Minute,4511,Cafes and Restaurants,Seats - Indoor,33,144.9663,-37.79881
18,2019,206,103694,103694,235-237 Faraday Street CARLTON 3053,Carlton,New York Minute,4511,Cafes and Restaurants,Seats - Outdoor,24,144.9663,-37.79881
19,2019,206,106113,106113,205-207 Lygon Street CARLTON 3053,Carlton,Dumpling ADA,4511,Cafes and Restaurants,Seats - Indoor,35,144.96656,-37.80046
20,2019,206,106113,106113,205-207 Lygon Street CARLTON 3053,Carlton,Dumpling ADA,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96656,-37.80046
