Theme,Sub Theme,Feature Name,x,y
Place Of Assembly,Library,The Melbourne Athenaeum Library,144.967291289941,-37.8148855756416
Place of Worship,Church,St Francis Church,144.962422614541,-37.8118847831837
Place of Worship,Church,Wesley Church,144.968168215633,-37.8101576446961
Place of Worship,Church,St Augustines Church,144.954862000132,-37.8169741358546
Place of Worship,Church,St James Church,144.952468571683,-37.8101281201969
Place of Worship,Church,St Mary's Anglican Church,144.953761537074,-37.8031663672997
Place of Worship,Church,Romanian Orthodox,144.966986444597,-37.8052307297468
Place of Worship,Church,Welsh Presbyterian Church,144.959873260087,-37.8104478768313
Place of Worship,Church,Church of Christ,144.963889202940,-37.8104524079085
Place of Worship,Church,Scots Church,144.968551053350,-37.8145687802664
Place of Worship,Church,St Michael's Uniting Church,144.969174036096,-37.8143851324913
Place of Worship,Church,Greek Orthodox Church,144.978259089269,-37.8088064667555
Place of Worship,Church,St Peter's Eastern Hill,144.975259178609,-37.8097086714637
Place of Worship,Church,Lutheran Trinity Church,144.975729473552,-37.8109757054396
Place of Worship,Church,Holy Trinity,144.983197322289,-37.8140667110854
Place of Worship,Church,St Johns Lutheran Church,144.967121099857,-37.8209399677168
Place of Worship,Church,North Melbourne Uniting,144.947671538375,-37.8035538471344
Place of Worship,Church,Melbourne Unitarian Church,144.984664890999,-37.8114487773394
Place of Worship,Church,All Nations Uniting Church,144.968981110942,-37.7959155303946
Place of Worship,Church,Our Lady of Lebanon Church,144.969334720932,-37.8025766539683
Place of Worship,Church,St Michaels,144.945399480629,-37.7940512679297
Place of Worship,Church,Ukranian Catholic Cathedral,144.944313454028,-37.7963084580345
Place of Worship,Church,St Alban Anglican Church,144.941614513920,-37.7942169477929
Place of Worship,Church,Christ Church Kensington,144.927295722880,-37.7932109480553
Place of Worship,Church,Holy Rosary,144.928362125005,-37.7948087414394
Place of Worship,Church,Collins Street Baptist Church,144.968072486031,-37.8147011904647
Place of Worship,Church,St Thomas Aquinas Church,144.976809080472,-37.8353076902578
Place of Worship,Church,South Yarra Presbyterian Church,144.985626993480,-37.8407473645397
Place of Worship,Church,The Parish of Christ Church South Yarra,144.986009385387,-37.8386270533576
Visitor Centre,Visitor Centre,Melbourne Visitor Booth,144.964425882562,-37.8139525061193
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,144.947580972027,-37.7857860016289
Transport,Transport Terminal,Port of Melbourne,144.917534323750,-37.8137384362671
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,144.961967841559,-37.7840864379557
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,144.961982577553,-37.7834303940347
Retail,Retail,Queen Victoria Market,144.957158515056,-37.8075002018073
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,144.965463853978,-37.8077644149636
Place Of Assembly,Theatre Live,FairFax Studio,144.968836241692,-37.8216684581887
Place Of Assembly,Theatre Live,Playhouse,144.968337832721,-37.8218124583016
Place Of Assembly,Theatre Live,State Theatre,144.968469643744,-37.8212806349773
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),144.969332539960,-37.8241137662047
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,144.981142173850,-37.8352429531289
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,144.912142987372,-37.7908082646624
Place Of Assembly,Theatre Live,Princess Theatre,144.972326596200,-37.8107257091302
Community Use,Public Buildings,State Library Victoria,144.964330322397,-37.8099852201226
Place Of Assembly,Theatre Live,Regent Theatre,144.967916735261,-37.8160014744179
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),144.983402879078,-37.8194921618419
Zoo,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,144.951371205938,-37.7844449253712
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,144.954352432490,-37.8252455123297
Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,144.952288281644,-37.8249040484653
Place Of Assembly,Art Gallery/Museum,Polly Woodside,144.953478052064,-37.8242574266145
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,144.967252924593,-37.8266045432686
Place Of Assembly,Theatre Live,Malthouse Theatre,144.966936821789,-37.8271768001126
Place of Worship,Church,St Patricks Cathedral,144.975901529712,-37.8101140950474
Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,144.968837288153,-37.8219947335768
Community Use,Public Buildings,Melbourne Town Hall,144.966542722283,-37.8150754791411
Community Use,Public Buildings,Sidney Myer Music Bowl,144.974686151365,-37.8233471608733
Casino,Casino,Crown Entertainment Complex,144.957312880653,-37.8235761092516
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,144.969899048343,-37.8174831423197
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,144.968963600783,-37.8178516571684
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,144.983970095400,-37.8188662730911
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,144.983802978660,-37.8247252673963
Transport,Marina,New Quay Marina,144.942283726231,-37.8152925454954
Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,144.943475014215,-37.8165177307702
Observation Tower/Wheel,Observation Tower/Wheel,Melbourne Star Observation Wheel,144.937588920436,-37.8116163666726
Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,144.948496661709,-37.8213744301481
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,144.936833674975,-37.8116945351989
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,144.978487173787,-37.8220456119807
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,144.978735802793,-37.8209085970021
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,144.977591098955,-37.8213252086842
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,144.981834802535,-37.8231100026670
Place Of Assembly,Art Gallery/Museum,Melbourne Museum,144.971690718887,-37.8035518129299
Place Of Assembly,Cinema,IMAX Melbourne,144.970639929886,-37.8034315561903
Community Use,Public Buildings,Melbourne Theatre Company,144.968297429894,-37.8239303848160
Place Of Assembly,Theatre Live,MTC Theatre,144.968174400274,-37.8242661832902
Community Use,Public Buildings,Elisabeth Murdoch Hall,144.967450979234,-37.8239733704282
Community Use,Public Buildings,Melbourne Recital Centre,144.967682729667,-37.8238327885805
Community Use,Public Buildings,NGV International,144.969342535451,-37.8230135000869
