,Theme,Sub Theme,Feature Name,x,y,query
0,Place Of Assembly,Library,The Melbourne Athenaeum Library,144.967291289941,-37.8148855756416,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""The Melbourne Athenaeum Library"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=The%20Melbourne%20Athenaeum%20Library"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
1,Place of Worship,Church,St Francis Church,144.9624226,-37.81188478,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Francis Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Francis%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
2,Place of Worship,Church,Wesley Church,144.9681682,-37.81015764,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Wesley Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Wesley%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
3,Place of Worship,Church,St Augustines Church,144.954862,-37.81697414,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Augustines Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Augustines%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
4,Place of Worship,Church,St James Church,144.9524686,-37.81012812,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St James Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20James%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
5,Place of Worship,Church,St Mary's Anglican Church,144.9537615,-37.80316637,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Mary's Anglican Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Marys%20Anglican%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
6,Place of Worship,Church,Romanian Orthodox,144.9669864,-37.80523073,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Romanian Orthodox"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Romanian%20Orthodox"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
7,Place of Worship,Church,Welsh Presbyterian Church,144.9598733,-37.81044788,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Welsh Presbyterian Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Welsh%20Presbyterian%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
8,Place of Worship,Church,Church of Christ,144.9638892,-37.81045241,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Church of Christ"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Church%20of%20Christ"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
9,Place of Worship,Church,Scots Church,144.9685511,-37.81456878,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Scots Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Scots%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
