,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
0,2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,239,144.96575,-37.79726,125.047,168.668,309.331,229.399,263.692,137.885,164.986,279.777,214.799,205.87,163.928,122.443
1,2019,207,106153,106153,331-335 Lygon Street CARLTON 3053,Carlton,Wolfs Lair,80,144.96717,-37.79751,101.123,138.422,254.36,187.371,213.968,110.427,133.874,228.344,175.433,168.018,133.943,98.853
2,2019,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Green Man's Arms,120,144.96781,-37.79695,78.908,110.047,204.731,149.821,171.388,86.507,105.834,183.285,140.172,133.692,105.838,76.608
3,2019,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,The Beaufort,66,144.97043,-37.79652,83.415,79.869,98.8,86.349,92.446,74.88,75.975,89.734,81.756,88.019,82.688,78.85
4,2019,216,102714,102714,350-352 Drummond Street CARLTON 3053,Carlton,Eva on Drummond,70,144.96927,-37.79771,111.563,106.594,131.31,114.914,122.706,99.924,101.377,119.178,108.864,117.371,110.529,105.729
5,2019,218,106215,106215,298 Lygon Street CARLTON 3053,Carlton,Carlton Yacht Club Bar,46,144.96738,-37.79999,91.86,120.769,238.378,185.136,235.996,123.494,133.539,234.348,170.786,159.343,115.479,81.577
6,2019,228,101450,101450,223-227 Canning Street CARLTON 3053,Carlton,Dan O'Connell Hotel,100,144.97339,-37.79303,48.693,46.64,57.718,50.423,54.004,43.687,44.323,52.4,47.733,51.381,48.251,45.962
7,2019,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,200,144.9671,-37.80247,95.216,119.76,195.457,158.649,170.011,104.628,115.966,180.938,153.28,155.619,121.949,92.35
8,2019,252,106244,106244,160-162 Lygon Street CARLTON 3053,Carlton,Vodka Temple,200,144.96677,-37.80344,103.68,135.545,231.803,173.695,186.174,103.307,125.809,203.131,164.728,162.987,134.897,103.262
9,2019,255,101593,101593,91-95 Cardigan Street CARLTON 3053,Carlton,Hotel Lincoln,154,144.96451,-37.80449,151.85,141.878,163.856,146.14,147.971,128.467,130.753,139.82,138.793,153.903,151.482,145.907
10,2019,260,103276,103276,614-616 Elizabeth Street MELBOURNE 3000,Carlton,The Last Jar,250,144.95891,-37.80388,65.841,88.04,146.612,123.579,134.18,81.188,89.637,142.04,121.648,123.529,88.355,61.96
11,2019,266,106081,106081,27-31 Lygon Street CARLTON 3053,Carlton,The Curtin,350,144.9657,-37.8062,88.108,100.744,141.548,129.746,104.922,85.609,100.018,117.079,106.096,116.756,108.031,97.931
12,2019,268,108154,108153,49 Rathdowne Street CARLTON 3053,Carlton,Epocha Restaurant,124,144.96856,-37.80577,0.0,0.0,0.0,0.0,0.0,0.0,201.077,269.872,219.384,242.678,172.801,141.349
13,2019,1101,108973,108973,85-161 Spencer Street DOCKLANDS 3008,Docklands,Network Public Bar & Pizzeria,325,144.9522,-37.81843,951.833,1023.106,1120.741,1029.105,1138.267,1002.863,1147.243,1154.631,1008.199,1126.418,1077.895,971.282
14,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,E J Whitten Bar,70,144.94747,-37.81649,307.946,364.208,356.367,323.227,396.768,346.89,392.121,391.032,333.339,381.585,332.584,279.574
15,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,500,144.94747,-37.81649,307.946,364.208,356.367,323.227,396.768,346.89,392.121,391.032,333.339,381.585,332.584,279.574
16,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,The Medallion Club,5000,144.94747,-37.81649,307.946,364.208,356.367,323.227,396.768,346.89,392.121,391.032,333.339,381.585,332.584,279.574
17,2019,1103,558180,558180,122-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Legends Bar,250,144.94747,-37.81649,307.946,364.208,356.367,323.227,396.768,346.89,392.121,391.032,333.339,381.585,332.584,279.574
18,2019,1104,576024,576023,747-757 Bourke Street DOCKLANDS 3008,Docklands,The Nixon Hotel,300,144.94781,-37.81918,225.717,259.394,262.124,239.32,274.598,243.013,280.193,276.289,238.315,205.423,235.053,210.01
19,2019,1105,628712,628712,717-731 Collins Street DOCKLANDS 3008,Docklands,Bar Nicional,75,144.95008,-37.82071,163.455,179.028,186.168,173.892,184.161,168.395,193.54,189.15,162.744,108.233,163.399,156.295
20,2019,1105,640970,640970,14-24 Batmans Hill Drive DOCKLANDS 3008,Docklands,Hightail,900,144.94986,-37.82129,323.518,466.295,495.612,396.799,411.839,416.593,551.409,578.085,341.288,351.451,378.789,273.12
21,2019,1108,604125,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Docklands,Mama Rumaan,60,144.94363,-37.8165,221.222,314.574,332.111,267.53,275.058,281.208,369.986,388.25,227.373,238.174,254.569,184.65
22,2019,1108,604125,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Docklands,Alumbra,690,144.94363,-37.8165,221.222,314.574,332.111,267.53,275.058,281.208,369.986,388.25,227.373,238.174,254.569,184.65
