,Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
0,2019,618,109993,109993,Pullman On The Park,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,1967.0,2018.0,20.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,37.0,True,144.9835,-37.81582,81.715,93.897,98.955,86.32,102.456,85.512,98.449,101.108,92.682,83.045,93.877,83.189
1,2019,265,101580,101580,,53 Cardigan Street CARLTON 3053,Carlton,1896.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96427,-37.80548,79.889,130.14,200.264,191.947,98.041,82.331,119.425,135.745,120.774,137.052,124.376,115.621
2,2019,614,107647,107647,,177-181 Powlett Street EAST MELBOURNE 3002,East Melbourne,1968.0,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98573,-37.81087,67.385,77.45,81.617,71.15,84.531,70.551,81.193,83.335,76.471,68.641,77.48,68.652
3,2019,606,104234,104234,Georgian Court,21-27 George Street EAST MELBOURNE 3002,East Melbourne,,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,False,144.98936,-37.81603,53.194,61.132,64.423,56.179,66.713,55.679,64.091,65.802,60.356,54.146,61.141,54.178
4,2019,15,104009,104009,Double Tree by Hilton,270-272 Flinders Street MELBOURNE 3000,Melbourne (CBD),1977.0,2002.0,15.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96535,-37.81769,0.0,0.0,0.0,706.681,497.214,887.707,1016.836,1364.967,732.163,0.0,0.0,0.0
5,2019,606,104835,104835,Millhayes Apartments,1085 Hoddle Street EAST MELBOURNE 3002,East Melbourne,,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98996,-37.81619,51.248,58.897,62.067,54.124,64.274,53.643,61.747,63.395,58.149,52.17,58.906,52.198
6,2019,601,108767,108767,,158-174 Simpson Street EAST MELBOURNE 3002,East Melbourne,1939.0,2002.0,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.98914,-37.81066,53.546,61.545,64.855,56.539,67.171,56.061,64.518,66.222,60.769,54.558,61.568,54.554
7,2019,243,109327,109327,Rydges On Swanston - Melbourne,701-713 Swanston Street CARLTON 3053,Carlton,1968.0,1998.0,6.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96338,-37.80142,102.89,127.76,205.581,172.359,186.17,117.71,125.69,192.995,167.281,171.234,131.573,98.224
8,2019,248,102758,102758,Denver Terrace,190 Drummond Street CARLTON 3053,Carlton,,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96863,-37.802,102.381,126.072,206.38,155.363,164.855,98.169,118.764,179.984,147.031,146.85,127.726,106.281
9,2019,252,111437,111437,Quest Carlton On Finlay,2-20 Finlay Place CARLTON 3053,Carlton,2002.0,,6.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96702,-37.80392,50.019,59.655,99.066,83.773,96.167,57.354,60.399,82.576,77.653,79.372,66.248,46.807
10,2019,2384,616747,616747,,171-173 Melrose Street NORTH MELBOURNE 3051,North Melbourne,2013.0,,3.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.94231,-37.79074,8.666,10.33,17.293,14.646,17.59,9.973,10.739,14.07,13.475,13.652,11.264,7.706
11,2019,215,103144,103144,,138-144 Elgin Street CARLTON 3053,Carlton,2010.0,,3.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96981,-37.79715,96.362,92.198,113.893,99.588,106.525,86.447,87.709,103.426,94.31,101.584,95.51,91.182
12,2019,36,105916,105916,Victoria Hotel,201-207 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1928.0,1969.0,10.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96753,-37.81434,1073.983,983.571,1087.209,1086.82,1006.987,979.378,1083.853,1038.22,1016.583,837.1,1142.317,1377.539
13,2019,34,110669,110669,,353-359 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1983.0,2008.0,10.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.963,-37.8157,1099.131,1024.944,1172.947,1197.784,1064.791,1014.479,1106.081,1114.078,1030.774,1064.653,1147.875,1343.164
14,2019,14,104006,104006,Rendezvous Hotel Melbourne,318-332 Flinders Street MELBOURNE 3000,Melbourne (CBD),1913.0,1997.0,10.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,4.0,True,144.96358,-37.81819,1532.67,1230.8,1354.284,1201.778,997.609,865.562,949.961,930.661,901.347,1069.887,942.258,1158.768
15,2019,646,106793,106793,,20-22 Morrison Place EAST MELBOURNE 3002,East Melbourne,1970.0,2000.0,2.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97687,-37.80899,81.97,88.697,95.981,85.903,99.298,83.865,96.737,99.347,62.674,0.0,0.0,0.0
16,2019,248,102750,102750,Derby Terrace,206 Drummond Street CARLTON 3053,Carlton,1870.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96876,-37.80157,104.923,129.033,210.925,158.903,168.664,100.751,121.68,184.105,150.461,150.313,130.754,109.141
17,2019,248,102755,102755,Carlton Terrace,196 Drummond Street CARLTON 3053,Carlton,1890.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.96865,-37.80184,103.82,127.825,209.193,157.498,167.15,99.598,120.438,182.481,149.078,148.894,129.491,107.837
18,2019,248,102745,102745,Jersey House,216 Drummond Street CARLTON 3053,Carlton,1901.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96864,-37.80132,109.858,134.988,220.466,166.163,176.385,105.539,127.352,192.504,157.372,157.247,136.808,114.367
