,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
0,2019,203,103123,103123,258 Elgin Street CARLTON 3053,Carlton,Cafe Sua Da,4511,Cafes and Restaurants,Seats - Indoor,45,144.96553,-37.79671,107.222,145.824,268.703,198.718,228.51,118.427,142.275,242.689,185.989,177.963,141.311,104.631
1,2019,203,103123,103123,258 Elgin Street CARLTON 3053,Carlton,Cafe Sua Da,4511,Cafes and Restaurants,Seats - Outdoor,6,144.96553,-37.79671,107.222,145.824,268.703,198.718,228.51,118.427,142.275,242.689,185.989,177.963,141.311,104.631
2,2019,203,109358,109358,832-834 Swanston Street CARLTON 3053,Carlton,Brother Bull,4511,Cafes and Restaurants,Seats - Indoor,42,144.9649,-37.79668,132.105,163.843,272.076,206.323,224.455,133.158,158.105,241.884,194.938,193.281,164.824,136.504
3,2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,144.96575,-37.79726,125.047,168.668,309.331,229.399,263.692,137.885,164.986,279.777,214.799,205.87,163.928,122.443
4,2019,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,50,144.96575,-37.79726,125.047,168.668,309.331,229.399,263.692,137.885,164.986,279.777,214.799,205.87,163.928,122.443
5,2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,The Longing Flavour,4511,Cafes and Restaurants,Seats - Indoor,50,144.96517,-37.79783,182.354,225.489,370.551,280.703,302.065,180.925,216.002,327.326,265.557,264.294,227.336,189.529
6,2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,Masters Of Burgerology,4511,Cafes and Restaurants,Seats - Indoor,50,144.96517,-37.79783,182.354,225.489,370.551,280.703,302.065,180.925,216.002,327.326,265.557,264.294,227.336,189.529
7,2019,204,109359,109359,768-804 Swanston Street CARLTON 3053,Carlton,Masters Of Burgerology,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96517,-37.79783,182.354,225.489,370.551,280.703,302.065,180.925,216.002,327.326,265.557,264.294,227.336,189.529
8,2019,205,512713,512713,249-263 Faraday Street CARLTON 3053,Carlton,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Indoor,17,144.96526,-37.79872,101.9,135.158,228.177,180.03,208.495,122.612,139.943,213.308,164.771,160.412,127.46,90.678
9,2019,205,512713,512713,249-263 Faraday Street CARLTON 3053,Carlton,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Outdoor,24,144.96526,-37.79872,101.9,135.158,228.177,180.03,208.495,122.612,139.943,213.308,164.771,160.412,127.46,90.678
10,2019,205,573289,573289,714-736 Swanston Street CARLTON 3053,Carlton,Toothpicks Cafe,4511,Cafes and Restaurants,Seats - Indoor,60,144.96489,-37.79947,94.145,107.404,162.352,138.628,161.21,111.782,118.415,159.369,127.417,128.271,106.78,88.664
