,Theme,Sub Theme,Feature Name,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
0,Place Of Assembly,Library,The Melbourne Athenaeum Library,144.967291289941,-37.8148855756416,0.0,0.0,0.0,795.519,658.722,1041.297,1184.588,1488.784,921.232,0.0,0.0,0.0
1,Place of Worship,Church,St Francis Church,144.9624226,-37.81188478,802.578,386.244,1709.29,1616.403,1459.434,1362.005,1457.732,1593.779,1425.911,1502.117,1452.059,1505.092
2,Place of Worship,Church,Wesley Church,144.9681682,-37.81015764,520.176,567.32,711.094,661.835,631.4,562.748,605.644,692.435,617.88,649.883,582.41,645.241
3,Place of Worship,Church,St Augustines Church,144.954862,-37.81697414,432.801,582.257,625.473,509.586,539.983,525.937,675.739,702.188,459.973,493.465,508.36,392.487
4,Place of Worship,Church,St James Church,144.9524686,-37.81012812,63.754,60.857,68.588,65.525,61.398,65.311,73.532,71.149,52.489,55.08,70.181,69.408
5,Place of Worship,Church,St Mary's Anglican Church,144.9537615,-37.80316637,33.678,37.019,56.503,49.429,55.958,38.087,41.258,47.205,42.625,43.334,43.126,33.325
6,Place of Worship,Church,Romanian Orthodox,144.9669864,-37.80523073,0.0,0.0,0.0,0.0,0.0,0.0,251.272,327.233,269.43,299.968,220.632,186.493
7,Place of Worship,Church,Welsh Presbyterian Church,144.9598733,-37.81044788,94.243,103.823,121.339,109.507,100.933,92.066,97.136,104.887,92.271,200.7,184.671,180.909
8,Place of Worship,Church,Church of Christ,144.9638892,-37.81045241,867.89,845.366,927.201,878.121,862.621,821.239,889.033,910.96,857.586,1235.217,1209.057,1304.532
9,Place of Worship,Church,Scots Church,144.9685511,-37.81456878,625.718,479.731,514.099,531.05,590.087,705.011,761.828,809.426,748.732,782.094,748.45,798.87
10,Place of Worship,Church,St Michael's Uniting Church,144.969174,-37.81438513,1044.488,876.108,1009.88,1037.723,975.321,1039.329,1133.008,1158.192,1062.189,1144.834,1156.787,1337.713
11,Place of Worship,Church,Greek Orthodox Church,144.9782591,-37.80880647,73.096,79.005,85.496,76.54,88.432,74.707,86.208,88.439,55.263,0.0,0.0,0.0
12,Place of Worship,Church,St Peter's Eastern Hill,144.9752592,-37.80970867,101.983,110.58,119.659,107.046,123.859,104.556,120.51,124.007,79.589,0.0,0.0,0.0
13,Place of Worship,Church,Lutheran Trinity Church,144.9757295,-37.81097571,130.267,141.123,152.652,136.475,157.678,133.206,153.687,157.946,100.668,0.0,0.0,0.0
14,Place of Worship,Church,Holy Trinity,144.9831973,-37.81406671,87.138,100.135,105.529,92.032,109.273,91.202,104.984,107.799,98.843,88.592,100.131,88.727
15,Place of Worship,Church,St Johns Lutheran Church,144.9671211,-37.82093997,1553.949,1465.856,1555.307,1301.052,1340.996,1217.653,1334.404,1348.986,1305.676,1498.593,1423.91,1568.629
16,Place of Worship,Church,North Melbourne Uniting,144.9476715,-37.80355385,29.762,31.276,36.126,33.176,30.77,29.502,31.895,33.152,27.627,31.07,31.994,32.326
17,Place of Worship,Church,Melbourne Unitarian Church,144.9846649,-37.81144878,74.272,85.365,89.958,78.424,93.168,77.759,89.49,91.856,84.281,75.633,85.393,75.664
18,Place of Worship,Church,All Nations Uniting Church,144.9689811,-37.79591553,57.803,81.404,152.25,110.957,126.827,63.269,77.91,135.932,103.805,98.837,78.076,56.009
19,Place of Worship,Church,Our Lady of Lebanon Church,144.9693347,-37.80257665,89.797,109.632,177.462,133.839,142.124,85.419,102.513,154.579,126.866,126.976,110.599,92.611
20,Place of Worship,Church,St Michaels,144.9453995,-37.79405127,11.743,16.336,35.049,27.804,37.805,18.98,19.662,35.983,25.217,22.877,15.0,8.914
21,Place of Worship,Church,Ukranian Catholic Cathedral,144.9443135,-37.79630846,17.428,21.25,38.962,31.739,40.54,23.687,24.902,39.69,28.985,27.341,20.637,15.46
22,Place of Worship,Church,St Alban Anglican Church,144.9416145,-37.79421695,11.446,13.271,18.644,16.21,18.206,13.534,14.73,18.256,14.611,14.79,12.923,10.349
23,Place of Worship,Church,Christ Church Kensington,144.9272957,-37.79321095,19.199,18.736,20.423,18.935,17.857,18.284,19.872,19.795,17.318,19.04,19.428,19.707
24,Place of Worship,Church,Holy Rosary,144.9283621,-37.79480874,20.306,19.812,21.592,20.022,18.878,19.333,21.005,20.924,18.304,20.13,20.538,20.837
25,Place of Worship,Church,Collins Street Baptist Church,144.9680725,-37.81470119,0.0,0.0,0.0,574.964,458.323,775.181,886.181,1112.082,666.062,0.0,0.0,0.0
26,Place of Worship,Church,St Thomas Aquinas Church,144.9768091,-37.83530769,189.569,134.625,149.979,132.968,109.451,94.811,106.118,106.637,104.362,119.658,112.593,134.765
27,Place of Worship,Church,South Yarra Presbyterian Church,144.985627,-37.84074736,84.638,48.36,79.015,119.002,85.298,81.452,94.585,91.597,87.623,97.709,68.336,100.66
28,Place of Worship,Church,The Parish of Christ Church South Yarra,144.9860094,-37.83862705,90.173,51.538,84.172,126.704,90.837,86.75,100.741,97.568,93.331,104.071,72.806,107.212
29,Community Use,Visitor Centre,Melbourne Visitor Booth,144.9644259,-37.81395251,1789.924,1355.963,1563.004,1606.098,1682.895,1809.101,1947.507,1975.848,1844.701,1978.299,2029.759,2345.948
30,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,144.947581,-37.785786,26.636,26.236,33.923,29.471,30.344,25.654,27.259,31.622,28.301,30.304,28.831,29.321
31,Transport,Transport Terminal,Port of Melbourne,144.9175343,-37.81373844,17.949,17.947,18.565,18.249,18.523,17.167,18.533,17.7,16.498,9.563,16.747,17.454
32,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,144.9619678,-37.78408644,24.871,31.676,53.655,40.008,43.324,24.724,30.01,47.16,37.836,37.306,31.665,25.732
33,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,144.9619826,-37.78343039,23.881,30.42,51.535,38.423,41.607,23.738,28.818,45.293,36.338,35.827,30.408,24.706
34,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,144.9654639,-37.80776441,364.232,183.631,890.716,839.736,721.568,662.129,716.574,802.256,708.199,749.766,718.879,738.805
35,Place Of Assembly,Theatre Live,FairFax Studio,144.9688362,-37.82166846,1220.61,904.483,1065.912,948.323,791.185,708.756,794.634,766.4,759.378,871.203,743.764,950.855
36,Place Of Assembly,Theatre Live,Playhouse,144.9683378,-37.82181246,927.288,553.869,853.067,1192.65,887.32,817.863,937.458,896.455,867.33,970.639,696.842,1017.093
37,Place Of Assembly,Theatre Live,State Theatre,144.9684696,-37.82128063,1432.699,1063.125,1253.901,1093.966,932.689,839.137,942.089,908.172,898.705,1028.195,880.266,1118.098
38,Education Centre,Tertiary (University),University of Melbourne (VCA and Music),144.9693325,-37.82411377,508.411,299.987,466.366,676.08,489.085,448.4,513.388,491.055,475.538,533.721,379.288,561.554
