,Unnamed: 0,Theme,Sub Theme,Feature Name,x,y,queryKey,explore,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
0,0,Place Of Assembly,Library,The Melbourne Athenaeum Library,144.967291289941,-37.8148855756416,The Melbourne Athenaeum Library,The%20Melbourne%20Athenaeum%20Library,0.0,0.0,0.0,795.519,658.722,1041.297,1184.588,1488.784,921.232,0.0,0.0,0.0
1,1,Place of Worship,Church,St Francis Church,144.962422614541,-37.8118847831837,St Francis Church,St%20Francis%20Church,802.578,386.242,1709.294,1616.407,1459.437,1362.007,1457.735,1593.782,1425.914,1502.119,1452.062,1505.094
2,2,Place of Worship,Church,Wesley Church,144.968168215633,-37.8101576446961,Wesley Church,Wesley%20Church,520.174,567.319,711.092,661.834,631.399,562.747,605.643,692.434,617.879,649.882,582.408,645.239
3,3,Place of Worship,Church,St Augustines Church,144.954862000132,-37.8169741358546,St Augustines Church,St%20Augustines%20Church,432.8,582.257,625.472,509.585,539.982,525.937,675.739,702.187,459.972,493.464,508.36,392.486
4,4,Place of Worship,Church,St James Church,144.952468571683,-37.8101281201969,St James Church,St%20James%20Church,63.754,60.857,68.588,65.524,61.398,65.31,73.531,71.149,52.489,55.079,70.18,69.408
5,5,Place of Worship,Church,St Mary's Anglican Church,144.953761537074,-37.8031663672997,St Mary's Anglican Church,St%20Marys%20Anglican%20Church,33.678,37.019,56.503,49.429,55.958,38.087,41.258,47.205,42.625,43.334,43.127,33.325
6,6,Place of Worship,Church,Romanian Orthodox,144.966986444597,-37.8052307297468,Romanian Orthodox,Romanian%20Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,251.27,327.231,269.429,299.966,220.631,186.491
7,7,Place of Worship,Church,Welsh Presbyterian Church,144.959873260087,-37.8104478768313,Welsh Presbyterian Church,Welsh%20Presbyterian%20Church,94.243,103.824,121.339,109.507,100.933,92.066,97.137,104.888,92.271,200.699,184.67,180.909
8,8,Place of Worship,Church,Church of Christ,144.96388920294,-37.8104524079085,Church of Christ,Church%20of%20Christ,867.89,845.366,927.201,878.121,862.621,821.239,889.033,910.96,857.586,1235.217,1209.057,1304.532
9,9,Place of Worship,Church,Scots Church,144.96855105335,-37.8145687802664,Scots Church,Scots%20Church,625.723,479.733,514.101,531.052,590.091,705.017,761.835,809.433,748.738,782.101,748.457,798.878
10,10,Place of Worship,Church,St Michael's Uniting Church,144.969174036096,-37.8143851324913,St Michael's Uniting Church,St%20Michaels%20Uniting%20Church,1044.478,876.098,1009.869,1037.712,975.31,1039.319,1132.996,1158.18,1062.178,1144.822,1156.775,1337.699
11,11,Place of Worship,Church,Greek Orthodox Church,144.978259089269,-37.8088064667555,Greek Orthodox Church,Greek%20Orthodox%20Church,73.096,79.005,85.496,76.54,88.432,74.707,86.208,88.439,55.263,0.0,0.0,0.0
12,12,Place of Worship,Church,St Peter's Eastern Hill,144.975259178609,-37.8097086714637,St Peter's Eastern Hill,St%20Peters%20Eastern%20Hill,101.984,110.58,119.66,107.046,123.86,104.556,120.511,124.007,79.589,0.0,0.0,0.0
13,13,Place of Worship,Church,Lutheran Trinity Church,144.975729473552,-37.8109757054396,Lutheran Trinity Church,Lutheran%20Trinity%20Church,130.268,141.124,152.652,136.475,157.678,133.206,153.688,157.946,100.669,0.0,0.0,0.0
14,14,Place of Worship,Church,Holy Trinity,144.983197322289,-37.8140667110854,Holy Trinity,Holy%20Trinity,87.137,100.135,105.528,92.032,109.273,91.202,104.984,107.798,98.843,88.592,100.131,88.727
15,15,Place of Worship,Church,St Johns Lutheran Church,144.967121099857,-37.8209399677168,St Johns Lutheran Church,St%20Johns%20Lutheran%20Church,1553.949,1465.857,1555.307,1301.052,1340.996,1217.653,1334.404,1348.986,1305.676,1498.593,1423.91,1568.629
16,16,Place of Worship,Church,North Melbourne Uniting,144.947671538375,-37.8035538471344,North Melbourne Uniting,North%20Melbourne%20Uniting,29.762,31.276,36.126,33.176,30.77,29.502,31.895,33.152,27.627,31.07,31.994,32.326
17,17,Place of Worship,Church,Melbourne Unitarian Church,144.984664890999,-37.8114487773394,Melbourne Unitarian Church,Melbourne%20Unitarian%20Church,74.273,85.365,89.958,78.424,93.168,77.759,89.49,91.856,84.281,75.633,85.393,75.664
18,18,Place of Worship,Church,All Nations Uniting Church,144.968981110942,-37.7959155303946,All Nations Uniting Church,All%20Nations%20Uniting%20Church,57.803,81.404,152.25,110.957,126.827,63.269,77.909,135.931,103.805,98.836,78.076,56.009
19,19,Place of Worship,Church,Our Lady of Lebanon Church,144.969334720932,-37.8025766539683,Our Lady of Lebanon Church,Our%20Lady%20of%20Lebanon%20Church,89.797,109.631,177.462,133.839,142.123,85.419,102.513,154.578,126.866,126.976,110.598,92.611
20,20,Place of Worship,Church,St Michaels,144.945399480629,-37.7940512679297,St Michaels,St%20Michaels,11.743,16.336,35.049,27.804,37.805,18.98,19.662,35.983,25.217,22.877,15.0,8.914
21,21,Place of Worship,Church,Ukranian Catholic Cathedral,144.944313454028,-37.7963084580345,Ukranian Catholic Cathedral,Ukranian%20Catholic%20Cathedral,17.428,21.25,38.962,31.739,40.54,23.687,24.902,39.69,28.985,27.341,20.637,15.46
22,22,Place of Worship,Church,St Alban Anglican Church,144.94161451392,-37.7942169477929,St Alban Anglican Church,St%20Alban%20Anglican%20Church,11.446,13.271,18.644,16.21,18.206,13.534,14.73,18.256,14.611,14.79,12.923,10.349
23,23,Place of Worship,Church,Christ Church Kensington,144.92729572288,-37.7932109480553,Christ Church Kensington,Christ%20Church%20Kensington,19.199,18.736,20.423,18.935,17.857,18.284,19.872,19.795,17.318,19.04,19.428,19.707
24,24,Place of Worship,Church,Holy Rosary,144.928362125005,-37.7948087414394,Holy Rosary,Holy%20Rosary,20.306,19.812,21.592,20.022,18.878,19.333,21.005,20.924,18.304,20.13,20.538,20.837
25,25,Place of Worship,Church,Collins Street Baptist Church,144.968072486031,-37.8147011904647,Collins Street Baptist Church,Collins%20Street%20Baptist%20Church,0.0,0.0,0.0,574.966,458.324,775.184,886.184,1112.087,666.064,0.0,0.0,0.0
26,26,Place of Worship,Church,St Thomas Aquinas Church,144.976809080472,-37.8353076902578,St Thomas Aquinas Church,St%20Thomas%20Aquinas%20Church,189.569,134.625,149.979,132.968,109.451,94.811,106.118,106.637,104.362,119.658,112.593,134.765
27,27,Place of Worship,Church,South Yarra Presbyterian Church,144.98562699348,-37.8407473645397,South Yarra Presbyterian Church,South%20Yarra%20Presbyterian%20Church,84.638,48.36,79.015,119.002,85.298,81.452,94.585,91.597,87.623,97.709,68.336,100.66
28,28,Place of Worship,Church,The Parish of Christ Church South Yarra,144.986009385387,-37.8386270533576,The Parish of Christ Church South Yarra,The%20Parish%20of%20Christ%20Church%20South%20Yarra,90.173,51.538,84.172,126.704,90.837,86.75,100.741,97.568,93.331,104.071,72.806,107.212
29,29,Visitor Centre,Visitor Centre,Melbourne Visitor Booth,144.964425882562,-37.8139525061193,Melbourne Visitor Booth,Melbourne%20Visitor%20Booth,1789.903,1355.948,1562.987,1606.08,1682.875,1809.08,1947.483,1975.824,1844.679,1978.275,2029.734,2345.919
30,30,Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,144.947580972027,-37.7857860016289,State Netball Hockey Centre,State%20Netball%20Hockey%20Centre,26.636,26.236,33.923,29.471,30.344,25.654,27.259,31.622,28.301,30.304,28.831,29.321
31,31,Transport,Transport Terminal,Port of Melbourne,144.91753432375,-37.8137384362671,Port of Melbourne,Port%20of%20Melbourne,17.949,17.947,18.565,18.249,18.523,17.167,18.533,17.7,16.498,9.563,16.747,17.454
32,32,Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,144.961967841559,-37.7840864379557,Carlton Football Club,Carlton%20Football%20Club,24.871,31.676,53.655,40.008,43.324,24.724,30.01,47.16,37.836,37.306,31.665,25.732
33,33,Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,144.961982577553,-37.7834303940347,Visy Park,Visy%20Park,23.881,30.42,51.535,38.423,41.607,23.738,28.818,45.293,36.338,35.827,30.408,24.707
34,34,Retail,Retail,Queen Victoria Market,144.957158515056,-37.8075002018073,Queen Victoria Market,Queen%20Victoria%20Market,188.525,181.906,207.278,198.274,184.865,194.189,218.296,213.072,154.678,163.263,209.146,206.663
35,35,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,144.965463853978,-37.8077644149636,Old Melbourne Gaol Crime & Justice Experience,Old%20Melbourne%20Gaol%20Crime%20%26%20Justice%20Experience,364.233,183.632,890.719,839.739,721.57,662.13,716.576,802.259,708.202,749.769,718.881,738.807
